Product_ID,Category,Price,Date,Season,Market_Trend_Index,Competitor_Activity_Score,Consumer_Confidence_Index,Product_Specification_1,Product_Specification_2,Sales_Volume
1103,Laptop,105.32,2009-01-01,Winter,-1.859160372,0.5466941855,84.68046469,Spec_C,Long-Battery-Life,49
1436,Tablet,145.55,2009-01-01,Winter,-0.3455874093,0.9404282498,42.919288,Spec_C,Lightweight,69
1271,Smartphone,97.82,2009-01-01,Winter,-0.3847379506,0.7511546087,55.19126812,Spec_B,Lightweight,50
1107,Laptop,64.0,2009-01-01,Winter,0.7167626536,0.1259389877,88.74645426,Spec_B,High-Resolution,28
1072,Tablet,67.83,2009-01-01,Winter,-0.2420735501,-0.4129319332,67.94753625,Spec_A,Long-Battery-Life,81
1021,Laptop,107.02,2009-01-01,Winter,-0.1915991736,0.9134369966,84.20721526,Spec_B,Long-Battery-Life,39
1615,Accessories,107.01,2009-01-01,Winter,0.5244243738,-1.35782923,87.93505709,Spec_B,Lightweight,53
1122,Smartphone,148.93,2009-01-01,Winter,0.829364796,-0.4373298344,84.58860218,Spec_B,Long-Battery-Life,62
1467,Tablet,157.84,2009-01-01,Winter,0.724515584,-0.4820440372,82.75084242,Spec_A,Long-Battery-Life,81
1215,Laptop,52.98,2009-01-01,Winter,-1.188053267,-2.649907533,76.22263107,Spec_B,High-Resolution,42
1331,Tablet,70.22,2009-01-01,Winter,1.044910843,0.2705412463,78.76103882,Spec_C,Lightweight,65
1459,Laptop,73.39,2009-01-01,Winter,-0.06540771653,-0.03569682574,48.54360597,Spec_C,Long-Battery-Life,58
1088,Laptop,52.93,2009-01-01,Winter,-1.552606654,-1.433750985,83.66575105,Spec_A,Long-Battery-Life,58
1373,Smartphone,126.98,2009-01-01,Winter,0.6500388678,-0.3745435708,74.81706735,Spec_A,Lightweight,33
1100,Accessories,126.48,2009-01-01,Winter,-2.020932825,-1.441330301,49.96009137,Spec_A,High-Resolution,89
1664,Accessories,76.8,2009-01-01,Winter,0.9922625069,2.207960042,63.88034933,Spec_B,High-Resolution,89
1131,Tablet,48.09,2009-01-01,Winter,-1.488960037,-0.8951304365,54.67442923,Spec_B,High-Resolution,27
1662,Laptop,70.47,2009-01-01,Winter,-0.2963058499,1.218484332,50.13509583,Spec_A,Lightweight,73
1309,Laptop,118.81,2009-01-01,Winter,2.242249489,1.078621622,92.41743872,Spec_B,High-Resolution,37
1344,Tablet,77.9,2009-01-01,Winter,-1.509786341,-0.983521272,79.54264771,Spec_C,Lightweight,54
1492,Tablet,162.24,2009-01-01,Winter,-0.7732179208,-0.4778419356,90.51283766,Spec_A,Long-Battery-Life,25
1414,Tablet,124.14,2009-01-01,Winter,0.3327880888,-1.599205349,57.36937677,Spec_A,Lightweight,87
1386,Tablet,65.94,2009-01-01,Winter,2.040584562,0.3594678206,90.11923225,Spec_C,High-Resolution,81
1192,Smartphone,133.23,2009-01-01,Winter,0.9804472739,-0.506842211,94.6215803,Spec_B,Lightweight,31
1277,Smartphone,76.03,2009-01-01,Winter,-0.251238002,-1.931030854,83.91645053,Spec_C,Lightweight,56
1161,Accessories,48.56,2009-01-01,Winter,-1.284226023,-0.1809844935,78.6820588,Spec_B,Lightweight,41
1460,Accessories,45.57,2009-01-01,Winter,0.2564314248,-0.9959861049,72.9152476,Spec_B,Lightweight,45
1314,Smartphone,156.32,2009-01-01,Winter,2.054506577,1.558477754,67.09794118,Spec_C,High-Resolution,64
1022,Tablet,118.19,2009-01-01,Winter,-0.5410461714,-1.198536696,49.37158999,Spec_B,Long-Battery-Life,44
1253,Accessories,63.51,2009-01-01,Winter,-0.222264757,-1.525776319,44.53821129,Spec_B,Lightweight,87
1561,Smartphone,129.27,2009-01-01,Winter,0.3077243491,-0.6096695131,56.83523884,Spec_A,High-Resolution,84
1475,Laptop,106.36,2009-01-01,Winter,0.7122536581,0.5982309949,61.72580974,Spec_A,Long-Battery-Life,29
1059,Smartphone,126.99,2009-01-01,Winter,-0.2907888498,0.1327832254,68.52183747,Spec_A,Lightweight,44
1511,Laptop,148.09,2009-01-01,Winter,0.7813735634,1.46416797,75.70569729,Spec_C,Long-Battery-Life,38
1682,Accessories,80.9,2009-01-01,Winter,-0.3505719649,0.2051208336,69.07004475,Spec_B,Long-Battery-Life,39
1476,Laptop,61.11,2009-01-01,Winter,0.01830397301,-0.7978388068,85.34496412,Spec_B,High-Resolution,24
1190,Smartphone,142.72,2009-01-01,Winter,0.369491741,0.3732432,84.4186777,Spec_B,Long-Battery-Life,29
1687,Laptop,143.91,2009-01-01,Winter,1.769903053,0.65004768,43.63362811,Spec_C,Lightweight,94
1563,Laptop,55.99,2009-01-01,Winter,-1.366633271,0.9540093613,92.33504452,Spec_C,Long-Battery-Life,61
1567,Smartphone,136.74,2009-01-01,Winter,1.071666359,0.089740205,56.95055463,Spec_A,Lightweight,88
1244,Accessories,77.19,2009-01-01,Winter,-0.6135030034,-0.5160011815,55.15134633,Spec_A,Long-Battery-Life,63
1505,Accessories,131.94,2009-01-01,Winter,-0.09465831638,0.6996578654,56.48662571,Spec_C,High-Resolution,47
1131,Accessories,48.09,2009-01-01,Winter,-0.5846889221,1.023585311,85.34290215,Spec_C,High-Resolution,27
1485,Laptop,42.71,2009-01-01,Winter,-0.8607621016,-0.003177741732,71.15393152,Spec_A,High-Resolution,23
1647,Smartphone,93.83,2009-01-01,Winter,1.505961133,0.3013295986,63.77653217,Spec_A,Long-Battery-Life,23
1021,Accessories,107.02,2009-01-01,Winter,0.5211468066,-0.6601243837,78.19813723,Spec_B,High-Resolution,39
1167,Tablet,64.87,2009-01-01,Winter,-0.3208614554,-0.3090517982,61.10064098,Spec_B,High-Resolution,82
1274,Tablet,51.39,2009-01-01,Winter,-1.032883695,-0.5076598651,97.69419483,Spec_A,Long-Battery-Life,72
1388,Laptop,63.05,2009-01-01,Winter,-0.2672577068,-0.4327750692,81.13402273,Spec_C,Lightweight,39
1601,Laptop,47.01,2009-01-01,Winter,1.639829696,0.5408562481,69.38242959,Spec_C,Long-Battery-Life,54
1316,Laptop,138.27,2009-01-01,Winter,1.131324444,0.9733763499,67.74866128,Spec_A,High-Resolution,44
1014,Smartphone,138.03,2009-01-02,Winter,-0.6711131885,-0.9198984519,83.5667218,Spec_B,High-Resolution,73
1242,Accessories,75.59,2009-01-02,Winter,-0.3993267976,-0.8202736487,91.8486456,Spec_A,Lightweight,50
1346,Tablet,120.83,2009-01-02,Winter,0.9338312873,-1.288654408,81.90372091,Spec_A,Lightweight,82
1565,Tablet,139.11,2009-01-02,Winter,-0.342476313,-0.2130094518,87.17338891,Spec_B,Long-Battery-Life,50
1340,Tablet,94.84,2009-01-02,Winter,-0.6642835746,0.6226885386,66.45601245,Spec_C,High-Resolution,19
1092,Tablet,129.57,2009-01-02,Winter,-0.1122010206,0.5697063897,43.5641582,Spec_C,Long-Battery-Life,17
1367,Laptop,49.37,2009-01-02,Winter,2.661289891,-1.060036729,77.72245035,Spec_B,Lightweight,48
1455,Tablet,70.33,2009-01-02,Winter,-2.268210507,-1.05419683,49.60682069,Spec_C,High-Resolution,27
1428,Tablet,91.52,2009-01-02,Winter,-1.200549176,-0.4384430212,52.76866685,Spec_A,High-Resolution,42
1509,Laptop,43.47,2009-01-02,Winter,0.7186054332,1.033809467,66.66660396,Spec_A,Lightweight,78
